ADM_CD,행정동명,충전소수,충전기수,지역,위도,경도
31041630,박달1동,8,21,경기,37.40406753260685,126.90661061325748
31041640,박달2동,11,44,경기,37.401733000747285,126.89969512563275
31041651,충훈동,5,9,경기,37.40719331593586,126.90068401287067
31042510,비산1동,11,75,경기,37.402047431176214,126.93305643964084
31042520,비산2동,14,109,경기,37.39724821859721,126.93823667207596
31042530,비산3동,9,15,경기,37.40423311804534,126.94871298068053
31042540,부흥동,7,28,경기,37.39198318210854,126.9460804859231
31042550,달안동,18,112,경기,37.395304848233955,126.95102597891957
31042580,부림동,52,169,경기,37.39561079692646,126.95923798974458
31042590,평촌동,17,66,경기,37.39293072720233,126.97618429062335
31042600,평안동,11,48,경기,37.390038999502785,126.96480800467465
31042610,귀인동,19,84,경기,37.384467006199785,126.96777764047631
31042620,호계1동,24,154,경기,37.37423803933421,126.9534575850841
31042630,호계2동,41,123,경기,37.3849493929288,126.94787250630533
31042640,호계3동,29,94,경기,37.36477294950307,126.95931349802642
31042650,범계동,30,121,경기,37.38785808385385,126.95290936327119
31042660,신촌동,4,21,경기,37.382449513323365,126.95518151041222
31042670,갈산동,8,31,경기,37.37727809115732,126.96631705484461
31042681,관양동,29,86,경기,37.40952816802058,126.96973877598273
31042691,인덕원동,73,215,경기,37.39870073381445,126.96952752073105
31051511,심곡1동,8,20,경기,37.491583729663844,126.78242471985345
31051521,심곡2동,34,65,경기,37.486486358389875,126.78302684238892
31051531,심곡3동,7,9,경기,37.48964840155832,126.77478678448544
31051541,원미2동,5,16,경기,37.491674728056815,126.78922235724275
31051551,소사동,10,37,경기,37.48738514473979,126.79544999555688
31051561,원미1동,12,58,경기,37.49704362234199,126.7930041039529
31051571,역곡1동,16,28,경기,37.48967238194995,126.81387673740034
31051581,역곡2동,10,32,경기,37.48765548436211,126.80749009830123
31051591,춘의동,26,83,경기,37.50238155685418,126.79091080200499
31051601,도당동,12,39,경기,37.5124646843001,126.78341975190764
31051611,중동,6,35,경기,37.49018933136935,126.77036932468211
31051621,상동,23,80,경기,37.49202713159016,126.7568836428555
31051631,약대동,17,34,경기,37.51334296478628,126.76780163569838
31051641,중1동,82,258,경기,37.50146993622489,126.76849957481008
31051651,중2동,42,117,경기,37.497288714118696,126.77757764068575
31051661,중3동,19,60,경기,37.50694137013867,126.77216198366237
31051671,중4동,11,99,경기,37.508311269781814,126.76374917441322
31051681,상1동,28,101,경기,37.493724638606615,126.7521394184287
31051691,상2동,51,226,경기,37.50160034942038,126.75071114966603
31051701,상3동,44,168,경기,37.50989367777321,126.75217143521381
31052511,심곡본1동,16,38,경기,37.48096209391355,126.77570545226634
31052521,심곡본동,9,22,경기,37.47971160349663,126.78251411866687
31052531,송내1동,18,45,경기,37.48271492235556,126.76055435179482
31052541,송내2동,26,56,경기,37.481592279806414,126.76809914116973
31052551,소사본동,28,53,경기,37.47942111043236,126.79336509504613
31052561,소사본1동,36,109,경기,37.471799110632986,126.80098085072208
31052571,범박동,33,148,경기,37.47226883061079,126.8085978229282
31052581,옥길동,42,217,경기,37.465630948039255,126.81918929302904
31052591,괴안동,5,14,경기,37.47892327808017,126.80918775007856
31052601,역곡3동,14,42,경기,37.48508139024239,126.8159825984232
31053511,성곡동,25,85,경기,37.51231022215815,126.80373309364708
31053521,고강본동,13,37,경기,37.53473542680975,126.81903504291151
31053531,고강1동,2,2,경기,37.528686819015,126.81227677040701
31053541,원종1동,12,23,경기,37.52869878266671,126.80595781058139
31053551,원종2동,4,6,경기,37.52836543889203,126.79880139293033
31053561,오정동,29,153,경기,37.53342164077018,126.77403613109755
31053571,신흥동,18,55,경기,37.522973284672325,126.76789897461832
31060520,광명2동,1,1,경기,37.4823353749758,126.856083400462
31060530,광명3동,2,4,경기,37.4794606227849,126.855644254558
31060540,광명4동,2,35,경기,37.4779125008652,126.85315106395902
31060550,광명5동,4,6,경기,37.476186278244,126.84657327826483
31060560,광명6동,6,125,경기,37.472330634870225,126.8506921497764
31060570,광명7동,16,74,경기,37.47113401243762,126.8541835903264
31060580,철산1동,16,64,경기,37.48975941663552,126.86894112748256
31060590,철산2동,1,1,경기,37.4828771799482,126.86480387055
31060600,철산3동,36,99,경기,37.47722804385638,126.86734134018134
31060610,철산4동,16,55,경기,37.47129029629411,126.86391961901175
31060620,하안1동,19,102,경기,37.464164809502286,126.87184906845631
31060630,하안2동,5,5,경기,37.46543542332732,126.8729011716852
31060640,하안3동,7,11,경기,37.460555203382384,126.88148898341991
31060650,하안4동,3,3,경기,37.46400347803643,126.87912513217367
31060660,소하1동,65,226,경기,37.44806071310809,126.88895882875875
31060680,학온동,6,31,경기,37.447782524562335,126.84412257369209
31060690,소하2동,38,106,경기,37.43419364870673,126.8827184685784
31060700,일직동,56,325,경기,37.41966873367984,126.88444932890783
31070110,팽성읍,31,47,경기,36.96180276742118,127.05144275790468
31070120,안중읍,64,214,경기,36.98469037839097,126.9249373216086
31070130,포승읍,68,165,경기,36.97408608705673,126.85217333099993
31070140,청북읍,45,161,경기,37.0281255286832,126.92627955433889
31070310,진위면,13,40,경기,37.11917276391132,127.07596316977421
31070320,서탄면,3,10,경기,37.12372740659233,127.0284066121443
31070330,고덕면,12,75,경기,37.026684640182275,127.03101409652642
31070340,오성면,14,15,경기,37.01742053921662,126.9698636673422
31070370,현덕면,12,52,경기,36.944662562330215,126.91830700007736
31070510,중앙동,48,212,경기,37.052623829859996,127.06420832085284
31070520,서정동,7,23,경기,37.06771725299832,127.06178817110803
31070530,송탄동,58,164,경기,37.04091015917524,127.09093113582334
31070550,지산동,21,34,경기,37.0762818938929,127.06000779299217
31070560,송북동,32,84,경기,37.081554209703455,127.0648313680505
31070570,신장1동,3,8,경기,37.083994949466586,127.051248141648
31070580,신장2동,3,3,경기,37.077082772800466,127.05203249977568
31070590,신평동,18,53,경기,36.98962815100366,127.09932627849959
31070600,원평동,25,98,경기,36.98994927950658,127.08100389889688
31070610,통복동,14,23,경기,36.99696422011618,127.08435438388108
31070640,세교동,63,215,경기,37.00960982200213,127.08089964825083
31070650,비전2동,47,357,경기,36.991512939823885,127.12164204019095
31070660,용이동,19,136,경기,36.99929190949001,127.13909619117103
31070670,비전1동,69,296,경기,37.00528967580783,127.111676267391
31070680,동삭동,26,208,경기,37.019809626666685,127.09340481212112
31070690,고덕동,59,456,경기,37.042726400936374,127.03524020456051
31080510,생연1동,7,25,경기,37.908983472787845,127.06401207887096
31080520,생연2동,13,55,경기,37.89882776657687,127.05056383306484
31080530,중앙동,8,11,경기,37.90853896387577,127.05547102136671
31080550,보산동,3,3,경기,37.9176426372764,127.061316992389
31080560,불현동,26,73,경기,37.894774123445316,127.06504625310454
31080580,소요동,13,44,경기,37.94141263666325,127.05986215521676
31080600,상패동,11,25,경기,37.90573188510977,127.04584873169404
31080610,송내동,42,153,경기,37.88959176885858,127.05171390088185
31091510,일동,12,28,경기,37.31208461974127,126.86991050842629
31091540,본오1동,8,12,경기,37.28697844996156,126.87439413234983
31091550,본오2동,6,19,경기,37.2948971687089,126.86550997238105
31091560,본오3동,18,41,경기,37.30080282716378,126.86318782191009
31091570,부곡동,6,15,경기,37.326874322159796,126.86732763052774
31091580,월피동,11,38,경기,37.332588417149545,126.84982322956704
31091620,성포동,12,65,경기,37.32149798567656,126.84644263715681
31091710,반월동,13,87,경기,37.306575903207666,126.90545711358658
31091730,안산동,3,3,경기,37.36094924506717,126.87177631312632
31091740,이동,10,30,경기,37.30831416908658,126.8489408267157
31091760,사동,19,46,경기,37.30169245092317,126.84780235077189
31091770,사이동,30,85,경기,37.2882185875017,126.85187092989368
31091780,해양동,45,255,경기,37.293593821815485,126.8289430969973
31092590,와동,17,34,경기,37.34280325326602,126.82591113829986
31092660,초지동,112,590,경기,37.30741874574543,126.8004798321768
31092680,선부1동,22,70,경기,37.33295076859671,126.80813826818051
31092690,선부2동,16,23,경기,37.34335983248525,126.8049136285547
31092700,선부3동,19,44,경기,37.345307962436564,126.81525416094803
31092720,대부동,41,86,경기,37.24513203214481,126.58617590008078
31092730,호수동,58,317,경기,37.30963017542274,126.83049200186652
31092740,고잔동,35,93,경기,37.32027462290911,126.82653359030762
31092750,중앙동,76,265,경기,37.32056453569815,126.8367845260044
